regime,trapPeak,trapLevel,trapMeanY,complete,last_Vd,peak_mA_mm,peak_Vd,onset_Vd,collapse_ratio,at_rest_frac,suppression_3V
no collapse,2e+18,0.35,-0.4,1,3,140.549,3,nan,1,0.982335,1.04554
no collapse,2e+18,0.35,-0.125,1,3,45.3998,0.6,nan,1.62179,0.932357,4.75429
no collapse,2e+18,0.35,0,1,3,24.6301,0.4,nan,2.36069,0.873915,9.22048
no collapse,2e+18,0.35,0.125,1,3,47.0789,3,nan,1,0.93374,3.12134
no collapse,2e+18,0.35,0.285,1,3,146.047,3,nan,1,0.981942,1.00618
no collapse,2e+18,0.35,0.5,1,3,146.341,3,nan,1,0.981705,1.00415
no collapse,2e+18,0.35,0.725,1,3,146.514,3,nan,1,0.981795,1.00297
no collapse,2e+18,0.35,1.25,1,3,146.614,3,nan,1,0.981953,1.00229
no collapse,2e+18,0.35,1.75,1,3,146.625,3,nan,1,0.982114,1.00221
no collapse,2e+18,0.35,2.4,1,3,146.63,3,nan,1,0.982371,1.00218
no collapse,2e+18,0.55,-0.4,1,3,131.058,3,nan,1,0.9588,1.12126
no collapse,2e+18,0.55,-0.125,1,3,8.4754,0.2,nan,5.46762,0.776013,66.6058
collapse,2e+18,0.55,0,1,3,3.94889,0.1,0.3,14.9254,0.394185,209.505
no collapse,2e+18,0.55,0.125,1,3,11.9545,3,nan,1,0.779353,12.2924
no collapse,2e+18,0.55,0.285,1,3,139.211,3,nan,1,0.959465,1.05558
no collapse,2e+18,0.55,0.5,1,3,141.887,3,nan,1,0.961541,1.03568
no collapse,2e+18,0.55,0.725,1,3,145.477,3,nan,1,0.962013,1.01012
no collapse,2e+18,0.55,1.25,1,3,146.041,3,nan,1,0.962329,1.00622
no collapse,2e+18,0.55,1.75,1,3,146.115,3,nan,1,0.963087,1.00571
no collapse,2e+18,0.55,2.4,1,3,146.165,3,nan,1,0.964318,1.00537
no collapse,2e+18,0.75,-0.4,1,3,72.0315,1,nan,1.20571,0.917017,2.24448
off at rest,2e+18,0.75,-0.125,1,3,0.0460006,0.1,nan,8.65948,0.00459186,27662.8
off at rest,2e+18,0.75,0,1,3,0.00952467,0.1,nan,10.0016,0.000950771,153587
off at rest,2e+18,0.75,0.125,1,3,0.247107,3,nan,1,0.00609206,594.679
no collapse,2e+18,0.75,0.285,1,3,127.522,3,nan,1,0.924107,1.15234
no collapse,2e+18,0.75,0.5,1,3,135.769,3,nan,1,0.935443,1.08235
no collapse,2e+18,0.75,0.725,1,3,141.069,3,nan,1,0.936517,1.04168
no collapse,2e+18,0.75,1.25,1,3,144.779,3,nan,1,0.937084,1.01499
no collapse,2e+18,0.75,1.75,1,3,145.275,3,nan,1,0.93951,1.01152
no collapse,2e+18,0.75,2.4,1,3,145.481,3,nan,1,0.942685,1.01009
