trapMeanX_um,trapMeanY_um,peak_mA_mm,peak_Vd,min_mA_mm,min_Vd,collapse_ratio,suppression_vs_ref_1p6V,complete
0,-0.5,22.4666,0.3,0.00086321,0.9,26026.8,144104,1
0,0,0.000763647,0.1,6.10942e-05,0.4,12.4995,1.19652e+06,1
0,0.125,0.00103958,0.1,8.09771e-05,0.4,12.8379,343183,1
0,0.285,13.1603,0.2,0.00311662,0.4,4222.63,5579.16,1
0,0.5,14.1907,0.2,0.00462178,0.7,3070.41,4156.88,1
0,0.725,15.8498,0.2,0.00077257,1,20515.8,27488,1
0,1.25,22.1681,0.3,0.00221459,0.6,10010.1,12314.2,1
0,2,24.3166,0.3,0.0100373,0.8,2422.63,5435.02,1
0,2.5,43.1901,0.6,0.210374,0.8,205.301,126.392,1
0,3,47.5074,0.6,0.000694492,1.4,68406,174765,1
0.00375,-0.5,15.8886,0.2,0.000470445,1.3,33773.6,266531,1
0.00375,0,0.000532533,0.1,4.06328e-05,0.4,13.106,1.83304e+06,1
0.00375,0.125,0.000682553,0.1,5.20401e-05,0.4,13.1159,564581,1
0.00375,0.285,7.80031,0.1,0.00160925,0.4,4847.17,11859.8,1
0.00375,0.5,7.90428,0.1,0.00247835,0.7,3189.34,8890.01,1
0.00375,0.725,14.7288,0.2,0.000504271,1,29208.2,48769,1
0.00375,1.25,19.2878,0.3,0.00123253,0.7,15648.9,27504.7,1
0.00375,2,22.6305,0.3,0.00536787,0.8,4215.92,11888.7,1
0.00375,2.5,38.0023,0.5,0.0937762,0.8,405.244,391.264,1
0.00375,3,43.116,0.6,0.000409105,1.4,105391,300102,1
0.0075,-0.5,15.2737,0.2,0.000307575,1.3,49658.5,407827,1
0.0075,0,0.000405113,0.1,2.98957e-05,0.4,13.5509,2.52933e+06,1
0.0075,0.125,0.000498446,0.1,3.75305e-05,0.4,13.2811,815077,1
0.0075,0.285,7.52056,0.1,0.00104489,0.4,7197.47,19556.7,1
0.0075,0.5,7.65129,0.1,0.00153974,0.7,4969.2,15723.7,1
0.0075,0.725,12.8932,0.2,0.000343345,1,37551.7,77741.5,1
0.0075,1.25,15.3854,0.2,0.000797569,0.7,19290.4,48292.8,1
0.0075,2,19.0316,0.3,0.00329431,0.9,5777.1,21383.4,1
0.0075,2.5,33.3013,0.5,0.0534599,0.8,622.921,845.65,1
0.0075,3,38.8804,0.5,28.5935,0.6,1.35976,nan,0
0.01125,-0.5,14.6691,0.2,0.00022448,1.3,65346.9,558928,1
0.01125,0,0.000335356,0.1,2.42224e-05,0.4,13.8449,3.15982e+06,1
0.01125,0.125,0.000402067,0.1,3.00315e-05,0.4,13.3882,1.04447e+06,1
0.01125,0.285,7.28793,0.1,0.000732987,0.4,9942.79,29569.4,1
0.01125,0.5,7.44592,0.1,0.000787243,0.7,9458.23,26299.7,1
0.01125,0.725,9.93731,0.2,0.000262778,1,37816.4,106462,1
0.01125,1.25,14.7608,0.2,0.00054768,0.65,26951.5,78595.7,1
0.01125,2,15.7828,0.2,0.00244163,0.9,6464.03,30231.2,1
0.01125,2.5,31.03,0.4,0.0388083,0.8,799.571,1261.09,1
0.01125,3,35.2873,0.5,0.000209837,1.45,168165,591329,1
0.015,-0.5,14.2656,0.2,0.000194738,1.4,73255.2,644290,1
0.015,0,0.000301509,0.1,2.15427e-05,0.4,13.9958,3.58805e+06,1
0.015,0.125,0.000356759,0.1,2.66204e-05,0.4,13.4017,1.19699e+06,1
0.015,0.285,7.15616,0.1,0.000696804,0.4,10270,31625,1
0.015,0.5,7.33317,0.1,0.000688748,0.7,10647.1,30201.8,1
0.015,0.725,7.70674,0.1,0.000230817,1,33389,123744,1
0.015,1.25,14.4475,0.2,0.000481618,0.65,29997.8,91056.8,1
0.015,2,15.596,0.2,0.00214531,0.9,7269.8,34708.2,1
0.015,2.5,30.561,0.4,0.034191,0.8,893.831,1409.88,1
0.015,3,36.4412,0.5,0.000193182,1.5,188637,643745,1
