{   Distance	     Value	 Material }
{ -1.25000e+00	 0.00000e+00	 GaN }
{ -1.20083e+00	 0.00000e+00	 GaN }
{ -1.15273e+00	 0.00000e+00	 GaN }
{ -1.10569e+00	 0.00000e+00	 GaN }
{ -1.05969e+00	 0.00000e+00	 GaN }
{ -1.01470e+00	 0.00000e+00	 GaN }
{ -9.70692e-01	 0.00000e+00	 GaN }
{ -9.27653e-01	 0.00000e+00	 GaN }
{ -8.85559e-01	 0.00000e+00	 GaN }
{ -8.44390e-01	 0.00000e+00	 GaN }
{ -8.04126e-01	 0.00000e+00	 GaN }
{ -7.64745e-01	 0.00000e+00	 GaN }
{ -7.26230e-01	 0.00000e+00	 GaN }
{ -6.88561e-01	 0.00000e+00	 GaN }
{ -6.51719e-01	 0.00000e+00	 GaN }
{ -6.15686e-01	 0.00000e+00	 GaN }
{ -5.80445e-01	 0.00000e+00	 GaN }
{ -5.45978e-01	 0.00000e+00	 GaN }
{ -5.12268e-01	 0.00000e+00	 GaN }
{ -4.79298e-01	 0.00000e+00	 GaN }
{ -4.47053e-01	 0.00000e+00	 GaN }
{ -4.15516e-01	 0.00000e+00	 GaN }
{ -3.84671e-01	 0.00000e+00	 GaN }
{ -3.54504e-01	 0.00000e+00	 GaN }
{ -3.25000e-01	 0.00000e+00	 GaN }
{ -2.95331e-01	 0.00000e+00	 GaN }
{ -2.68749e-01	 0.00000e+00	 GaN }
{ -2.44932e-01	 0.00000e+00	 GaN }
{ -2.23593e-01	 0.00000e+00	 GaN }
{ -2.04475e-01	 0.00000e+00	 GaN }
{ -1.87345e-01	 0.00000e+00	 GaN }
{ -1.71998e-01	 0.00000e+00	 GaN }
{ -1.58248e-01	 0.00000e+00	 GaN }
{ -1.45928e-01	 0.00000e+00	 GaN }
{ -1.34890e-01	 0.00000e+00	 GaN }
{ -1.25000e-01	 0.00000e+00	 GaN }
{ -1.15109e-01	 0.00000e+00	 GaN }
{ -1.05419e-01	 0.00000e+00	 GaN }
{ -9.59231e-02	 9.64327e-17	 GaN }
{ -8.66194e-02	 3.47158e-15	 GaN }
{ -7.75033e-02	 1.20830e-13	 GaN }
{ -6.85713e-02	 3.39829e-12	 GaN }
{ -5.98195e-02	 7.88588e-11	 GaN }
{ -5.12443e-02	 1.52505e-09	 GaN }
{ -4.28422e-02	 2.47958e-08	 GaN }
{ -3.46096e-02	 3.41813e-07	 GaN }
{ -2.65432e-02	 4.02970e-06	 GaN }
{ -1.86395e-02	 4.10144e-05	 GaN }
{ -1.08953e-02	 3.66727e-04	 GaN }
{ -3.30745e-03	 3.07038e-03	 GaN }
{  4.12730e-03	 1.85103e-02	 GaN }
{  1.14120e-02	 9.84843e-02	 GaN }
{  1.85497e-02	 3.69787e-01	 GaN }
{  2.55434e-02	 8.67287e-01	 GaN }
{  3.23959e-02	 1.45049e+00	 GaN }
{  3.91102e-02	 2.02705e+00	 GaN }
{  4.56890e-02	 2.57191e+00	 GaN }
{  5.21349e-02	 3.08098e+00	 GaN }
{  5.84509e-02	 3.55523e+00	 GaN }
{  6.46393e-02	 3.99693e+00	 GaN }
{  7.07029e-02	 4.40880e+00	 GaN }
{  7.66441e-02	 4.79392e+00	 GaN }
{  8.24654e-02	 5.15576e+00	 GaN }
{  8.81692e-02	 5.49809e+00	 GaN }
{  9.37580e-02	 5.82488e+00	 GaN }
{  9.92339e-02	 6.13990e+00	 GaN }
{  1.04599e-01	 6.44585e+00	 GaN }
{  1.09857e-01	 6.74282e+00	 GaN }
{  1.15008e-01	 7.02668e+00	 GaN }
{  1.20055e-01	 7.28825e+00	 GaN }
{  1.25000e-01	 7.51619e+00	 GaN }
{  1.30032e-01	 7.70842e+00	 GaN }
{  1.35232e-01	 7.86124e+00	 GaN }
{  1.40607e-01	 7.96483e+00	 GaN }
{  1.46162e-01	 8.00502e+00	 GaN }
{  1.51904e-01	 7.97394e+00	 GaN }
{  1.57838e-01	 7.87851e+00	 GaN }
{  1.63972e-01	 7.73085e+00	 GaN }
{  1.70311e-01	 7.53386e+00	 GaN }
{  1.76863e-01	 7.29041e+00	 GaN }
{  1.83635e-01	 7.01021e+00	 GaN }
{  1.90634e-01	 6.70646e+00	 GaN }
{  1.97868e-01	 6.38606e+00	 GaN }
{  2.05345e-01	 6.04962e+00	 GaN }
{  2.13073e-01	 5.69166e+00	 GaN }
{  2.21060e-01	 5.30366e+00	 GaN }
{  2.29315e-01	 4.87622e+00	 GaN }
{  2.37847e-01	 4.39983e+00	 GaN }
{  2.46666e-01	 3.86522e+00	 GaN }
{  2.55780e-01	 3.26411e+00	 GaN }
{  2.65201e-01	 2.58869e+00	 GaN }
{  2.74937e-01	 1.83410e+00	 GaN }
{  2.85000e-01	 1.01868e+00	 GaN }
{  2.95000e-01	 3.33010e-01	 GaN }
{  3.05000e-01	 4.93936e-02	 GaN }
{  3.15000e-01	 4.64449e-03	 GaN }
{  3.25000e-01	 3.55941e-04	 GaN }
{  3.35000e-01	 2.31867e-05	 GaN }
{  3.45000e-01	 1.28863e-06	 GaN }
{  3.55000e-01	 6.11000e-08	 GaN }
{  3.65000e-01	 2.47144e-09	 GaN }
{  3.75000e-01	 8.52928e-11	 GaN }
{  3.85000e-01	 2.50957e-12	 GaN }
{  3.95000e-01	 6.29706e-14	 GaN }
{  4.05000e-01	 1.35006e-15	 GaN }
{  4.15000e-01	 0.00000e+00	 GaN }
{  4.25000e-01	 0.00000e+00	 GaN }
{  4.35000e-01	 0.00000e+00	 GaN }
{  4.45000e-01	 0.00000e+00	 GaN }
{  4.55000e-01	 0.00000e+00	 GaN }
{  4.65000e-01	 0.00000e+00	 GaN }
{  4.75000e-01	 0.00000e+00	 GaN }
{  4.85000e-01	 0.00000e+00	 GaN }
{  4.94761e-01	 0.00000e+00	 GaN }
{  5.04955e-01	 0.00000e+00	 GaN }
{  5.15600e-01	 0.00000e+00	 GaN }
{  5.26716e-01	 0.00000e+00	 GaN }
{  5.38324e-01	 0.00000e+00	 GaN }
{  5.50446e-01	 0.00000e+00	 GaN }
{  5.63105e-01	 0.00000e+00	 GaN }
{  5.76325e-01	 0.00000e+00	 GaN }
{  5.90129e-01	 0.00000e+00	 GaN }
